Job Title,Requirements
Senior Auditor job description,"Proven experience as an auditor; In-depth understanding of auditing and control practices; Updated knowledge of applicable laws and regulations; Proficient in MS Office (especially Excel) and accounting software; Strong mathematical and analytical skills; Attention to detail; Organizational and leadership abilities; Integrity and reliability; BSc/BA in Accounting or Finance; master’s degree and professional certification (e.g.CPA, CMA) are pluses"
Billing Coordinator job description,Proven experience as billing coordinator or similar position; Understanding of relevant laws and best practices; Proficient in MS office and data entry; working knowledge of ERP software is a plus; Comfortable with mathematics and financial data; Excellent communication and interpersonal skills; Great attention to detail; Confidentiality and trustworthiness; Excellent ability to organize and coordinate tasks; BSc/BA in accounting or relevant field
Billing Specialist job description,"Proven experience as Billing Specialist; Adherence to laws and best practices in regards to dealing with customers and data; Comfortable dealing with numbers and the processing of financial information; Excellent knowledge of MS Office (particularly Excel) and ER software (JDE or other); Proficiency in English; Results-driven and patient; High degree of attention to detail and trustworthiness; BSc degree in Finance, Accounting or BA"
Billing Clerk job description,Proven experience asbilling clerkorgeneral accounting experience; Adherence to laws and confidentiality guidelines; Proficient in MS Office (especially Excel); Working knowledge of relevant software (e.g. Quickbooks) will be appreciated; Excellent math ability; Good organizational skills; Excellent communication skills; High school diploma; further education will be a plus
Mortgage Loan Processor job description,Proven experience as mortgage loan processor or similar position; Understanding ofloan underwritingand processing procedures; Knowledge of legislation and best practices; Proficient in mortgage loan computer software (e.g. Calyx Point); Outstanding communication and customer service skills; Excellent attention to detail; Well-organized and able to handle pressure; Math skills; High school diploma; bachelor’s will be preferred
Loan Processor job description,"Proven working experience in a Loan Processor role; Good knowledge of banking computer software and MS Office; Comprehension of direct/indirect lending procedures; In-depth understanding of relevant rules and regulations; Excellent communication and sales skills; Balance between customer satisfaction orientation and a results driven approach; BSc degree in finance, economics, or a related field"
Tax Manager job description,"Proven work experience as a Tax Manager; Excellent knowledge oftax accounting, tax compliance and all types of tax returns; Knowledge of tax software and MS Office; Good at meeting deadlines and solving problems; Exceptional client service along with the ability to develop excellent client relationships; Strong leadership and personnel management skills; Analytical skills with detail orientation; BA in Accounting or MA in Taxation"
Senior Accountant job description,"Proven experience as aFinancial Controller,Accounting Supervisor, chief or senior accountant; Thorough knowledge of basic accounting procedures; In-depth understanding of Generally Accepted Accounting Principles (GAAP); Awareness of business trends; Familiarity with financial accounting statements; Experience with general ledger functions and the month-end/year-end close process; Hands-on experience with accounting software packages, like FreshBooks and QuickBooks; Advanced MS Excel skills including Vlookups and pivot tables; Accuracy and attention to detail; Aptitude for numbers and quantitative skills; BS degree in Accounting, Finance or relevant; Relevant certification (e.g. CMA orCPA) will be preferred"
Accounting Clerk job description,"Proven accounting experience, preferably as anAccounts Receivable ClerkorAccounts Payable Clerk; Familiarity withbookkeepingand basic accounting procedures; Competency in MS Office, databases and accounting software; Hands-on experience with spreadsheets and financial reports; Accuracy and attention to detail; Aptitude for numbers; Ability to perform filing and record keeping tasks; Data entry and word processing skills; Well organized; High school degree; Associate’s degree or relevant certification is a plus"
Credit Analyst job description,"Proven working experience as a credit analyst; Proficiency in statistical packages and financial software; Up to date with legal, compliance and market risk related issues; Ability to analyze cash flows, leverage, collateral and customer strength; Strong communication and presentation skills; Sound judgement; BS degree in Business, Statistics or related field"
Bookkeeper job description,"Proven bookkeeping experience; Solid understanding of basic bookkeeping and accounting payable/receivable principles; Proven ability to calculate, post and manage accounting figures and financial records; Data entry skills along with a knack for numbers; Hands-on experience with spreadsheets and proprietary software; Proficiency in English and in MS Office; Customer service orientation and negotiation skills; High degree of accuracy and attention to detail; BS degree in Finance, Accounting or Business Administration"
Accounts Receivable Clerk job description,"Proven working experience as Accounts Receivable Clerk,Accounts Receivable Manageror accountant; Solid understanding ofbasic accountingprinciples, fair credit practices and collection regulations; Proven ability to calculate, post and manage accounting figures and financial records; Data entry skills along with a knack for numbers; Hands-on experience in operating spreadsheets and accounting software (JDE or other full-scale ER software); Proficiency in English and in MS Office; Customer service orientation and negotiation skills; High degree of accuracy and attention to detail; BS degree in Finance, Accounting or Business Administration"
Accounts Payable Clerk job description,"Proven working experience as Accounts Payable Clerk; Solid understanding of basic bookkeeping and accounting payable principles; Proven ability to calculate, post andmanage accountingfigures and financial records; Data entry skills along with a knack for numbers; Hands-on experience with spreadsheets and proprietary software; Proficiency in English and in MS Office; High degree of accuracy and attention to detail; BSc degree in Finance, Accounting or Business Administration"
Loan Officer job description,"Proven working experience as a Loan Officer; Familiarity with computers and banking applications/software; Solid understanding of direct/indirect lending products and practices; Excellent communication and interpersonal skills; Customer satisfaction orientation and sales competencies; Ability to work in a goal oriented environment; BS degree in finance, economics or a related field"
Budget Analyst job description,"Proven experience as budget analyst; Knowledge of data analysis and forecasting methods; Understanding of budgeting and regulatory requirements; Excellent mathematical ability and an analytical mind; Proficient in MS Office and databases; knowledge of graphic software is a plus; Outstanding communication skills (verbal and written); Attention to detail; BSc/MSc in accounting, finance, business or relevant field"
Management Accountant job description,"Proven experience as management accountant,accounting supervisoror similar role; Solid knowledge of basic and advanced accounting and financial principles and practices; Excellent knowledge of cost accounting and reporting; Excellent knowledge or risk analysis, budgeting and forecasting; Working knowledge of financial software and MS Office; Analytical mind with aptitude in math; Excellent communication and presentation skills; A problem-solver with attention to detail; Organizational and leadership skills; BSc/BA in accounting, finance or similar field; Relevant certification (e.g. CMA or CGMA) will be preferred"
Accounting Manager job description,"Proven working experience as Accounting Manager,Accounting Supervisoror Finance Manager; Advanced computer skills on MS Office, accounting software and databases; Ability to manipulate large amounts of data; Proven knowledge of bookkeeping and accounting principles, practices, standards, laws and regulations; High attention to detail and accuracy; Ability to direct and supervise; BS degree in Accounting or Finance"
Junior Accountant job description,"Proven experience as a junior accountant; Excellent organizing abilities; Great attention to detail; Good with numbers and figures and an analytical acumen; Good understanding of accounting and financial reporting principles and practices; Excellent knowledge of MS Office and familiarity with relevant computer software (e.g. SAP); Qualifications (ACA, ACCA or CIMA) is a plus but not required; BSc/Ba in accounting, finance or relevant field"
Accountant job description,"Work experience as an Accountant; Excellent knowledge of accounting regulations and procedures, including the Generally Accepted Accounting Principles (GAAP); Hands-on experience with accounting software like FreshBooks and QuickBooks; Advanced MS Excel skills including Vlookups and pivot tables; Experience with general ledger functions; Strong attention to detail and good analytical skills; BSc in Accounting, Finance or relevant degree; Additional certification (CPA or CMA) is a plus"
Junior Financial Analyst job description,"Bachelor’s degree in finance, data analysis, economics, math, or engineering.; Intermediate to advanced skills in MS Excel/Google Sheets and PowerPoint.; Interest in reporting and data analysis tools (Tableau and SQL are a plus).; Strong business analytical abilities and attention to detail.; Excellent oral and written communication skills.; Teamwork and collaborative skills."
Private Equity Associate job description,Proven work experience as a Private Equity Associate or similar role; Organizational skills to manage several accounts at once; Ability to analyze lots of data to provide insights and directions to clients; Relevant training and/or certifications as a Private Equity Associate
Economist job description,Proven work experience as an Economist or similar role; Experience in an analytical role; Logical mindset and strong problem-solving skills; Exceptional organizational skills; Outstanding written and verbal communication; Excellent interpersonal skills; Relevant training and/or certifications as an Economist
Accounting Specialist job description,"Proven work experience as an Accounting Specialist or similar role; Understanding of accounting principles and current financial legislation; Exceptional time management, communication and problem-solving skills; Strong math and research skills; Basic computer skills with knowledge of bookkeeping software; Bachelor’s degree in accounting or finance is preferred"
VP of Finance job description,"Proven work experience as a VP of Finance or similar role; In-depth knowledge of financial benchmarking, accounting, audit and tax compliance and other regulatory matters; Adept in fiscal management principles and processes, including resource management and needs assessment; Partner with Chief Revenue Officer & Chief Executive Officer to establish and track revenue goals; Possesses critical knowledge of federal and multiple state tax laws as well as basic accounting issues; A bachelor’s degree in finance or accounting is preferred"
Payroll Administrator job description,"Proven work experience as a Payroll Administrator or similar role; Proficiency in Microsoft Office and payroll software programs; Strong numerical aptitude and attention to detail; Excellent communication skills, both verbal and written; Good time management and organizational skills; Degree in business administration, finance or accounting preferred"
Chief Revenue Officer job description,"Proven work experience as a Chief Revenue Officer or similar role; Proven track record of growing revenue through new product development, marketing, branding and partnerships; Proven experience developing and executing business strategy; Significant general management and P&L experience; Ability to craft and execute a business strategy"
Portfolio Manager job description,"Proven work experience as a Portfolio Manager or similar role; Strong understanding of investment strategies and risk management; Excellent verbal and written communication skills; Strong analytical and problem-solving skills; Master’s degree in business, finance, investment or a related field preferred"
Claims Adjuster job description,"Previous experience as a claims adjuster or similar role; Working experience in using appraisal software; Strong analytical and mathematical skills; Experience in writing detailed reports; A compassionate and resilient personality; High school diploma; Degree in Insurance, Finance or similar field is a plus"
Controller job description,"Work experience as a Controller or similar role; Thorough knowledge of accounting principles, procedures and legislation; Hands-on experience with general ledger accounts payable and accounts receivable functions; Experience with cash management and risk assessment; Good knowledge of accounting software; Attention to detail; Ability to work with tight deadlines; BSc or MSc in Accounting or Finance; CPA or CMA preferred"
Actuary job description,"Work experience as an Actuary, Investment Analyst or similar position; In-depth understanding of how to use actuarial formulas and tables; Hands-on experience with statistical packages like SPSS; Good knowledge of insurance legislation; Excellent numerical and analytical skills; Attention to detail; BSc in Statistics, Mathematics or Finance; Additional certification in Risk Management or being successful in actuary exams is a plus"
Nonprofit CFO job description,"Proven work experience as aCFO, preferably in a nonprofit organization; Excellent knowledge of data analysis, risk management and forecasting methods; Hands-on experience with accounting and financial management software (e.g. SAP); Expertise in MS Excel; Analytical skills; Ability to explain financial terms in simple language; Familiarity with the way nonprofit organizations are structured; Genuine interest in our mission; BSc or MSc in Finance, Accounting or relevant field"
Head of Finance job description,"Proven work experience as a Head of Finance,Director of Financeor similar role; In-depth understanding of cash flow management, bank reconciliation and bookkeeping; Hands-on experience with budgeting and risk management; Excellent knowledge of data analysis and forecasting models; Proficiency in accounting software; Solid analytical and decision-making skills; Leadership abilities; BSc/BA in Accounting, Finance or relevant field; MSc/MBA or relevant certification (e.g. CFA/CPA) is a plus"
Finance Administrator job description,"Proven work experience as a Finance Administrator,Finance Assistantor similar role; Hands-on experience with accounting software, like QuickBooks; Advanced knowledge of MS Excel (creating spreadsheets and charts and using financial Excel functions); Good understanding of bookkeeping procedures; Time-management and organization skills; Confidentiality; BSc degree in Finance, Accounting or Economics"
Financial Consultant job description,"Proven work experience as a Financial Consultant,Financial Adviseror similar role; Hands-on experience with accounting software and statistical packages; Good knowledge of fiscal policies; Excellent analytical skills, along with the ability to create detailed reports and spreadsheets; Attention to detail; Confidentiality; BS degree in Finance, Accounting, Economics or related field; Additional certification (e.g. CFP or CFA) is a plus"
Financial Accountant job description,"Proven work experience as a Financial Accountant or similar role; Advanced knowledge of MS Excel and accounting software; In-depth understanding of business bookkeeping procedures; Solid knowledge of accounting regulations; Excellent math skills with an attention to detail; Time-management abilities; Confidentiality; BSc degree in Accounting, Finance or relevant field; Additional certification (e.g. CPA) is a plus"
Finance Assistant job description,"Work experience as a Finance Assistant,Finance Officeror similar role; Good knowledge of accounting and bookkeeping procedures; Advanced MS Excel skills (creating spreadsheets and using financial functions); Familiarity with accounting software (e.g. QuickBooks); Organizational and time-management skills; Attention to detail, with an ability to spot numerical errors; BSc degree in Finance, Accounting or Economics"
Senior Financial Analyst job description,"Proven work experience as a Senior Financial Analyst,Financial Analystor similar role; Hands-on experience with financial and statistical software; Expertise in MS Excel (creating spreadsheets and using advanced formulas); Familiarity with finance databases; Understanding of Enterprise Resource Planning systems (ERP); Up-to-date with accounting laws and regulations; Excellent analytical skills; Ability to present financial data using detailed reports and charts; Demonstrable strategic thinking skills; Confidentiality in handling sensitive financial information; BS degree in Finance, Accounting or Economics; Relevant certification (e.g. CFA/CPA) is a plus"
External Auditor job description,"Proven experience as an External Auditor; Experience in data analysis and financial reporting; Knowledge of external auditing practices and relevant regulations (e.g. Sarbanes-Oxley Act); Knowledge of accounting standards (e.g. GAAP, IFRS); Familiar with ERP software (e.g. JD Edwards); Excellent verbal and written communication skills; Sound judgement and decision-making ability; Strong organizational skills; Keen attention to detail; CPA license; BSc/BA in Accounting, Finance or relevant field"
Finance Clerk job description,"Proven experienceas a Finance Clerk; Knowledge of basic bookkeeping and financial transactions; Familiarity with financial regulations, i.e. Generally Accepted Accounting Principles (GAAP); Knowledge of MS Office and databases; Attention to detail; Organizational and multitasking abilities; Excellent verbal and written communication skills; Reliability and strong work ethics; Ability to solve problems; High school diploma or equivalent"
Retail Banker job description,"Proven experience as a retail banker or similar role; sales or customer service experience is a plus; Knowledge of retail banking rules and procedures; Working knowledge of banking software and MS Office; Patience and problem-solving ability; Customer-oriented attitude; Outstanding communication skills; BSc/BA in Accounting, Business Administration or related field"
Investment Banker job description,"Proven experience as an Investment Banker or Underwriter; Experience with valuation, modeling and forecasting; Knowledge of regulations covering securities and M&As; Solid grasp of current market developments; Strong analytical and quantitative skills; Ability to work under pressure; Outstanding communication ability (written and oral); Strong work ethic and professionalism; Valid license (e.g. Series 7 & 66); professional certification (e.g. CFA) is an asset; BSc/BA in finance, business administration or similar field; graduate degree is a plus"
Financial Specialist job description,"Proven work experience as a Financial Specialist, Financial Analyst or relevant role; Familiarity with finance and statistical analysis software; Understanding of financial and accounting principles; An ability to analyze market trends and provide data-based advice; Strong analytical skills with an attention to detail; An ability to present and explain investment information and financial plans; BS degree in Finance, Economics or related field; Additional qualification (e.g. CPA or CFA) a plus"
Personal Banker job description,"Proven experience as a personal banker; experience in sales or customer service is a plus; Knowledge of personal banking practices and regulations; Familiarity with banking software; excellent use of MS Office; Ability to work diligently to meet targets; Excellent communication and negotiation skills; Customer-oriented approach to handling problems; BSc/BA in Finance, Accounting or similar field preferred"
Financial Planner job description,"Proven experience as financial planner or similar role; experience in sales or customer service is an asset; Ability to analyze financial information and comply with regulations; Proficiency in MS Office and CRM systems; Attention to detail and strong math skills; Strong ethics, with a customer-oriented attitude; Outstanding communication skills, with the ability to foster long-term relationships; Valid professional license (e.g. Series 7 & 66); BSc/BA in accounting, finance, business administration or relevant field; professional certification (e.g. CFP) is a plus"
Finance Officer job description,"Proven work experience as a Finance Officer or similar role; Solid knowledge of financial and accounting procedures; Experience using financial software; Advanced MS Excel skills; Knowledge of financial regulations; Excellent analytical and numerical skills; Sharp time management skills; Strong ethics, with an ability to manage confidential data; BSc degree in Finance, Accounting or Economics; Professional qualification as a CFA/CPA is considered a plus"
Financial Manager job description,"Proven experience as a Financial Manager; Experience in the financial sector with previous possible roles such as financial analyst; Extensive understanding of financial trends both within the company and general market patterns; Proficient user of finance software; Strong interpersonal, communication and presentation skills; Able to manage, guide and lead employees to ensure appropriate financial processes are being used; A solid understanding of financial statistics and accounting principles; Working knowledge of all statutory legislation and regulations; BS/MA degree in Finance, Accounting or Economics; Professional qualification such as CFA/CPA or similar will be considered a plus"
Insurance Broker job description,"Proven experience as an Insurance Broker; Knowledgeable in all types of insurance plans (automobile, fire, life, property, medical etc); Basic understanding of computers and statistics; Results-driven; Demonstrated ability to present, persuade and eventually sell; Experience in delivering client-focused solutions and in creating long-lasting relationships; Valid licence to practice profession; High school or BSc degree"
Financial Analyst job description,"Proven working experience as a Finance Analyst; Proficient in spreadsheets, databases, MS Office and financial software applications; Hands on experience with statistical analysis and statistical packages; Outstanding presentation, reporting and communication skills; Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis; Well informed in current financial subjects, accounting, tax laws, money market and business environments; BS degree in Finance, Economics or related field"
Investment Analyst job description,"Proven working experience as an Investment Analyst; Solid understanding of financial set-up, procedures, statistics and economics; Excellent investment analysis software user; Strong numeric skills; Excellent quantitative and qualitative analytical skills; BS degree in Finance, Accounting or related field"
Treasurer job description,"Proven experience as treasurer or in a relevant financial role; Thorough knowledge of financial legislation, regulation and practices; Knowledge of monetary market, investment management and financing techniques; Working knowledge of MS Office and financial management software (SAP, Oracle etc.); Good with numbers and figures; Excellent communication and interpersonal skills; Well-organized and reliable; Excellent leadership and decision-making abilities; BSc/MSc in finance, accounting or relevant field"
CFO job description,"Proven experience asCFO,finance officeror relevant role; In depth knowledge of corporate financial law and risk management practices; Excellent knowledge of data analysis and forecasting methods; Proficient in the use of MS Office and financial management software (e.g. SAP); Ability to strategize and solve problems; Strong leadership and organizational skills; Excellent communication and people skills; An analytical mind, comfortable with numbers; CPA is a strong advantage; BSc/BA in Accounting, Finance or relevant field; MSc/MBA is a plus"
Director of Finance job description,"Proven experience as director of finance or similar role; In-depth knowledge of corporate finance and accounting principles, laws and best practices; Solid knowledge of financial analysis and forecasting; Proficient in the use of MS Office and financial management software (e.g. SAP); An analytical mind with a strategic ability; Excellent organizational and leadership skills; Outstanding communication and interpersonal abilities; BSc/BA in accounting, finance or relevant field; MSc/MA is a plus; CPA or other relevant qualification is a plus"
Insurance Underwriter job description,"Proven insurance underwriting experience; Hands-on experience with “smart systems”, analytical tools and statistical packages (spreadsheets,SPSS, databases etc); Sensible judgement and attention to detail; Confident decision making skills; Excellent knowledge of insurance policies and ability to relate policy provisions to the loss exposures; Proven numeracy and statistical skills; Insurance diploma or certification; BS in Business Administration, Finance or related field"
Financial Adviser job description,"Proven working experience as a Financial Adviser,Controller,Planner,Specialistor relevant experience; Track record of successful financial guidance; Ability to analyse market’s financial data and to provide appropriate data-based advice; Strong communication, negotiation and presentation skills; Accuracy, attention to detail and the ability to explain complex information clearly and simply; Excellent PC knowledge and ability to operate database systems; Current certificate of qualifications (FCA, CII, DipFA, CISI or other); BS degree in Finance or related field"
Assistant Controller job description,"Proven experience as assistant controller or other similar position; Solid knowledge of GAAP (Generally Accepted Accounting Principles) and regulations; Excellent knowledge of accounting and financial processes (budgeting, financial closure, reporting etc.); Understanding of data analysis and forecasting; Working knowledge of MS Office (especially excel) and accounting software (e.g. SAP); Well-organized with ability to prioritize; Very good communication and interpersonal skills; Attention to detail and problem-solving ability; BSc/BA in accounting, finance or relevant field is preferred; Professional certification (e.g.CPA) is a plus"
Financial Controller job description,Proven working experience as a Financial Controller; 5+ years of overall combined accounting and finance experience; Advanced degree in Accounting; CPAor CMA preferred; Thorough knowledge of accounting principles and procedures; Experience with creating financial statements; Experience with general ledger functions and the month-end/year end close process; Excellent accounting software user and administration skills
Personal Assistant to CEO job description,At least 3 years of experience as a Personal Assistant to a senior executive; Comprehensive understanding of office management systems and applications; Exceptional planning and time management skills; Excellent verbal and written communication skills; Discretion and confidentiality; A qualification as a PA is advantageous
CRM Specialist job description,"Bachelor’s Degree with a solid analytical and technical background.; 2+ years of CRM Administration experience, e.g., Salesforce, Microsoft Dynamics.; Proven ability to administer and configure CRM systems, including custom objects, flows, validation rules, and permissions.; Familiarity with automating business processes, report and dashboard creation, and data analysis.; Experience working directly with commercial, financial, and data teams.; Strong communication and collaboration skills.; Bonus points for experience in specific CRM platforms like Salesforce.com, knowledge of SOQL/Workbench, and familiarity with integrated tools such as Outreach, Hubspot."
CRM Administrator job description,"2+ years of CRM Administration experience (e.g., Salesforce, Microsoft Dynamics).; Experience working directly with sales teams and implementing their requirements in the CRM system.; Ability to administer and configure a CRM system (custom objects, workflows, permissions, etc.).; Familiarity with automating business processes, creating reports/dashboards, and data analysis/modeling.; Strong communication, collaboration, and problem-solving skills.; Bonus points for Salesforce.com certification, experience with SOQL/Workbench, or familiarity with integrated tools such as Outreach, Hubspot, or Netsuite.; Fluency in English, diligence, enthusiasm, and an interest in marketing strategy, content marketing, SEO, HR, recruiting, and tech.; This is a 6-month position with the possibility of an extension."
Business Performance Analyst job description,"1-2 years of experience in business analysis, data analysis, or a related field.; Bachelor’s degree in Computer Science, Engineering, Math, Physics, Finance, Economics, or a related field.; Experience with reporting software like Tableau and a working knowledge of databases and SQL.; Intermediate to advanced skills in MS Excel/Google Sheets and MS PowerPoint.; Strong communication skills, both written and oral.; Ability to build partnerships and work collaboratively.; Strong analytical abilities, attention to detail, and organizational skills.; Highly driven, self-motivated, and data-curious with the ability to work as part of a team."
